client_ID,client_NM,client_REGION
F5M6,F5M6 Funds Limited,AMER
2VYH,2VYH Funds Limited,APAC
IP5R,IP5R Funds Limited,APAC
FTUH,FTUH Funds Limited,AMER
3D1J,3D1J Funds Limited,AMER
HRI1,HRI1 Funds Limited,EMEA
A6F8,A6F8 Funds Limited,APAC
5F3V,5F3V Funds Limited,AMER
V20M,V20M Funds Limited,EMEA
JTBD,JTBD Funds Limited,EMEA
QL0Z,QL0Z Funds Limited,AMER
JO1W,JO1W Funds Limited,APAC
FQGR,FQGR Funds Limited,EMEA
Z165,Z165 Funds Limited,EMEA
48N0,48N0 Funds Limited,APAC
ONKF,ONKF Funds Limited,EMEA
18MK,18MK Funds Limited,APAC
V747,V747 Funds Limited,AMER
P9NE,P9NE Funds Limited,EMEA
UUFP,UUFP Funds Limited,EMEA
VLND,VLND Funds Limited,APAC
UEHZ,UEHZ Funds Limited,EMEA
U6HA,U6HA Funds Limited,AMER
GRUN,GRUN Funds Limited,EMEA
F877,F877 Funds Limited,AMER
LG47,LG47 Funds Limited,AMER
YWXV,YWXV Funds Limited,AMER
LDM0,LDM0 Funds Limited,APAC
7KP5,7KP5 Funds Limited,APAC
Y6GO,Y6GO Funds Limited,APAC
XSCK,XSCK Funds Limited,EMEA
D6B5,D6B5 Funds Limited,EMEA
L04R,L04R Funds Limited,APAC
NP0X,NP0X Funds Limited,APAC
VVRX,VVRX Funds Limited,EMEA
USSI,USSI Funds Limited,APAC
9EH4,9EH4 Funds Limited,EMEA
PBIW,PBIW Funds Limited,EMEA
AXQ1,AXQ1 Funds Limited,AMER
QRHR,QRHR Funds Limited,EMEA
HE75,HE75 Funds Limited,APAC
VRLZ,VRLZ Funds Limited,EMEA
L4FB,L4FB Funds Limited,EMEA
93DT,93DT Funds Limited,APAC
YR8P,YR8P Funds Limited,AMER
R1WU,R1WU Funds Limited,APAC
Q2VX,Q2VX Funds Limited,AMER
8N30,8N30 Funds Limited,AMER
6LNL,6LNL Funds Limited,AMER
BHUX,BHUX Funds Limited,EMEA
JSRS,JSRS Funds Limited,EMEA
WYBR,WYBR Funds Limited,APAC
BXKO,BXKO Funds Limited,EMEA
1C6U,1C6U Funds Limited,EMEA
I1CW,I1CW Funds Limited,APAC
LS8T,LS8T Funds Limited,APAC
TEBA,TEBA Funds Limited,AMER
SWDI,SWDI Funds Limited,AMER
1N4F,1N4F Funds Limited,APAC
URFW,URFW Funds Limited,APAC
7XA9,7XA9 Funds Limited,AMER
TDAM,TDAM Funds Limited,EMEA
TDHI,TDHI Funds Limited,APAC
YBM2,YBM2 Funds Limited,AMER
H4TU,H4TU Funds Limited,EMEA
3QPY,3QPY Funds Limited,AMER
EMVZ,EMVZ Funds Limited,AMER
RR2C,RR2C Funds Limited,EMEA
2S4O,2S4O Funds Limited,EMEA
7QSF,7QSF Funds Limited,AMER
PU4X,PU4X Funds Limited,APAC
PD76,PD76 Funds Limited,EMEA
H41H,H41H Funds Limited,EMEA
0KGU,0KGU Funds Limited,AMER
ND46,ND46 Funds Limited,APAC
L2NW,L2NW Funds Limited,APAC
ORWN,ORWN Funds Limited,APAC
ZGDV,ZGDV Funds Limited,EMEA
L3CH,L3CH Funds Limited,EMEA
LTKD,LTKD Funds Limited,EMEA
676N,676N Funds Limited,AMER
IF9H,IF9H Funds Limited,APAC
QFXQ,QFXQ Funds Limited,EMEA
PC4C,PC4C Funds Limited,AMER
JKQV,JKQV Funds Limited,APAC
IJII,IJII Funds Limited,AMER
1MX2,1MX2 Funds Limited,AMER
5STN,5STN Funds Limited,AMER
QTBD,QTBD Funds Limited,AMER
771V,771V Funds Limited,AMER
VRM9,VRM9 Funds Limited,EMEA
8KNV,8KNV Funds Limited,EMEA
PO8P,PO8P Funds Limited,APAC
O08G,O08G Funds Limited,EMEA
M3XQ,M3XQ Funds Limited,APAC
K4BN,K4BN Funds Limited,EMEA
G7M6,G7M6 Funds Limited,EMEA
H9E0,H9E0 Funds Limited,APAC
U7G3,U7G3 Funds Limited,AMER
RW4O,RW4O Funds Limited,AMER
3E9J,3E9J Funds Limited,EMEA
4TGZ,4TGZ Funds Limited,APAC
3LR1,3LR1 Funds Limited,APAC
521C,521C Funds Limited,AMER
VCPK,VCPK Funds Limited,EMEA
VID1,VID1 Funds Limited,APAC
J8S0,J8S0 Funds Limited,EMEA
NB86,NB86 Funds Limited,EMEA
IDO5,IDO5 Funds Limited,APAC
X2UB,X2UB Funds Limited,APAC
PGYH,PGYH Funds Limited,AMER
DWJ5,DWJ5 Funds Limited,APAC
S4S2,S4S2 Funds Limited,AMER
2VVS,2VVS Funds Limited,AMER
2DQG,2DQG Funds Limited,EMEA
ST59,ST59 Funds Limited,EMEA
7DTF,7DTF Funds Limited,AMER
5SMU,5SMU Funds Limited,APAC
MBOM,MBOM Funds Limited,AMER
KERY,KERY Funds Limited,AMER
JW5Y,JW5Y Funds Limited,AMER
28YP,28YP Funds Limited,AMER
64QX,64QX Funds Limited,AMER
9UG2,9UG2 Funds Limited,AMER
PBOC,PBOC Funds Limited,APAC
KHZV,KHZV Funds Limited,AMER
OBHC,OBHC Funds Limited,AMER
8GNE,8GNE Funds Limited,EMEA
5ES4,5ES4 Funds Limited,EMEA
9QEB,9QEB Funds Limited,EMEA
M3A2,M3A2 Funds Limited,EMEA
3RQG,3RQG Funds Limited,EMEA
2Q1C,2Q1C Funds Limited,APAC
QNU1,QNU1 Funds Limited,APAC
065W,065W Funds Limited,EMEA
GYBM,GYBM Funds Limited,AMER
E9Z4,E9Z4 Funds Limited,APAC
OYEF,OYEF Funds Limited,EMEA
VT74,VT74 Funds Limited,EMEA
2U1Z,2U1Z Funds Limited,EMEA
DMS8,DMS8 Funds Limited,AMER
8BHI,8BHI Funds Limited,EMEA
1PRV,1PRV Funds Limited,AMER
56GV,56GV Funds Limited,AMER
ZIV8,ZIV8 Funds Limited,AMER
MXV5,MXV5 Funds Limited,AMER
H5J4,H5J4 Funds Limited,AMER
1E8N,1E8N Funds Limited,EMEA
JPU7,JPU7 Funds Limited,EMEA
RGXG,RGXG Funds Limited,APAC
29AN,29AN Funds Limited,AMER
NCT6,NCT6 Funds Limited,EMEA
VLQ6,VLQ6 Funds Limited,APAC
8O6B,8O6B Funds Limited,AMER
0V7D,0V7D Funds Limited,AMER
2VFH,2VFH Funds Limited,APAC
8XES,8XES Funds Limited,APAC
NMPU,NMPU Funds Limited,AMER
NI84,NI84 Funds Limited,EMEA
JEBJ,JEBJ Funds Limited,EMEA
N6NL,N6NL Funds Limited,AMER
SDAA,SDAA Funds Limited,EMEA
WNQZ,WNQZ Funds Limited,APAC
HB6B,HB6B Funds Limited,AMER
T32X,T32X Funds Limited,APAC
U72J,U72J Funds Limited,APAC
7XBG,7XBG Funds Limited,AMER
02CV,02CV Funds Limited,AMER
75J0,75J0 Funds Limited,EMEA
GQH7,GQH7 Funds Limited,AMER
QH9J,QH9J Funds Limited,EMEA
JV6U,JV6U Funds Limited,AMER
L96U,L96U Funds Limited,AMER
XWFH,XWFH Funds Limited,AMER
BODC,BODC Funds Limited,APAC
RHVT,RHVT Funds Limited,EMEA
ONBA,ONBA Funds Limited,AMER
482U,482U Funds Limited,EMEA
UUPO,UUPO Funds Limited,APAC
0QJQ,0QJQ Funds Limited,APAC
IVR5,IVR5 Funds Limited,APAC
DVL3,DVL3 Funds Limited,APAC
SCXL,SCXL Funds Limited,EMEA
9D0Q,9D0Q Funds Limited,EMEA
2JBQ,2JBQ Funds Limited,EMEA
D6O2,D6O2 Funds Limited,EMEA
8FFG,8FFG Funds Limited,APAC
P033,P033 Funds Limited,EMEA
FXMT,FXMT Funds Limited,AMER
6GHA,6GHA Funds Limited,APAC
MM0E,MM0E Funds Limited,EMEA
LJZT,LJZT Funds Limited,AMER
B5ZH,B5ZH Funds Limited,AMER
OUQB,OUQB Funds Limited,EMEA
9ZJK,9ZJK Funds Limited,AMER
DKWF,DKWF Funds Limited,APAC
225K,225K Funds Limited,APAC
I9L4,I9L4 Funds Limited,AMER
Y9VC,Y9VC Funds Limited,APAC
3M5W,3M5W Funds Limited,APAC
3UIF,3UIF Funds Limited,AMER
6VID,6VID Funds Limited,EMEA
2429,2429 Funds Limited,AMER
TLX0,TLX0 Funds Limited,AMER
5KA9,5KA9 Funds Limited,APAC
NE8Q,NE8Q Funds Limited,EMEA
B3MQ,B3MQ Funds Limited,EMEA
FW95,FW95 Funds Limited,APAC
W8UY,W8UY Funds Limited,APAC
PTXO,PTXO Funds Limited,EMEA
HZUM,HZUM Funds Limited,APAC
GGM7,GGM7 Funds Limited,EMEA
8BS5,8BS5 Funds Limited,AMER
3J5H,3J5H Funds Limited,AMER
NZSU,NZSU Funds Limited,AMER
A9VG,A9VG Funds Limited,AMER
TEOP,TEOP Funds Limited,EMEA
B4FR,B4FR Funds Limited,EMEA
G2GX,G2GX Funds Limited,EMEA
VZ3X,VZ3X Funds Limited,APAC
CYHO,CYHO Funds Limited,AMER
9RE8,9RE8 Funds Limited,EMEA
F2LL,F2LL Funds Limited,APAC
IQJ8,IQJ8 Funds Limited,AMER
P4CE,P4CE Funds Limited,AMER
XA0E,XA0E Funds Limited,APAC
J9CM,J9CM Funds Limited,AMER
GU8B,GU8B Funds Limited,APAC
RP8Z,RP8Z Funds Limited,EMEA
L1G2,L1G2 Funds Limited,APAC
8LGR,8LGR Funds Limited,APAC
4XM2,4XM2 Funds Limited,AMER
R6SC,R6SC Funds Limited,AMER
QZNX,QZNX Funds Limited,EMEA
P1VB,P1VB Funds Limited,AMER
37HE,37HE Funds Limited,EMEA
GKHR,GKHR Funds Limited,EMEA
JTS3,JTS3 Funds Limited,APAC
H67M,H67M Funds Limited,EMEA
NDNI,NDNI Funds Limited,APAC
BVNP,BVNP Funds Limited,AMER
Y5H4,Y5H4 Funds Limited,EMEA
L9X8,L9X8 Funds Limited,AMER
IKU2,IKU2 Funds Limited,EMEA
AIIL,AIIL Funds Limited,APAC
8ZZR,8ZZR Funds Limited,EMEA
76UM,76UM Funds Limited,EMEA
2MKG,2MKG Funds Limited,APAC
T9XK,T9XK Funds Limited,AMER
5C8X,5C8X Funds Limited,EMEA
7Y8T,7Y8T Funds Limited,EMEA
08Q2,08Q2 Funds Limited,EMEA
Z09R,Z09R Funds Limited,AMER
UZTS,UZTS Funds Limited,EMEA
G98C,G98C Funds Limited,AMER
XI8D,XI8D Funds Limited,AMER
RG3R,RG3R Funds Limited,AMER
6JZR,6JZR Funds Limited,APAC
QX13,QX13 Funds Limited,AMER
871L,871L Funds Limited,AMER
EJUG,EJUG Funds Limited,EMEA
A4W3,A4W3 Funds Limited,EMEA
EY04,EY04 Funds Limited,APAC
ZMUW,ZMUW Funds Limited,EMEA
XB41,XB41 Funds Limited,APAC
K2JF,K2JF Funds Limited,APAC
FUVE,FUVE Funds Limited,AMER
VUGW,VUGW Funds Limited,AMER
S4W9,S4W9 Funds Limited,AMER
5CAE,5CAE Funds Limited,EMEA
NXIQ,NXIQ Funds Limited,EMEA
OPWV,OPWV Funds Limited,EMEA
1RV4,1RV4 Funds Limited,AMER
G6PW,G6PW Funds Limited,AMER
MQFF,MQFF Funds Limited,AMER
XWAC,XWAC Funds Limited,APAC
5OGL,5OGL Funds Limited,EMEA
ZW8Z,ZW8Z Funds Limited,EMEA
RVFR,RVFR Funds Limited,EMEA
FVAV,FVAV Funds Limited,AMER
2JBV,2JBV Funds Limited,APAC
WJ6F,WJ6F Funds Limited,EMEA
MCM3,MCM3 Funds Limited,APAC
AEJT,AEJT Funds Limited,AMER
HI7U,HI7U Funds Limited,AMER
NR0G,NR0G Funds Limited,EMEA
71IV,71IV Funds Limited,AMER
6A5W,6A5W Funds Limited,APAC
XSYS,XSYS Funds Limited,EMEA
N65D,N65D Funds Limited,EMEA
F2SE,F2SE Funds Limited,APAC
1H1Z,1H1Z Funds Limited,AMER
67HE,67HE Funds Limited,AMER
53LY,53LY Funds Limited,APAC
3ABA,3ABA Funds Limited,EMEA
4PFN,4PFN Funds Limited,AMER
QRM2,QRM2 Funds Limited,AMER
83Q7,83Q7 Funds Limited,AMER
AKMI,AKMI Funds Limited,APAC
0V86,0V86 Funds Limited,AMER
B3NV,B3NV Funds Limited,AMER
Q5VQ,Q5VQ Funds Limited,EMEA
R8VU,R8VU Funds Limited,APAC
VR8M,VR8M Funds Limited,APAC
89GE,89GE Funds Limited,EMEA
5REG,5REG Funds Limited,AMER
93IG,93IG Funds Limited,APAC
03VU,03VU Funds Limited,AMER
U0NY,U0NY Funds Limited,APAC
BHO2,BHO2 Funds Limited,AMER
KVS2,KVS2 Funds Limited,EMEA
DQSU,DQSU Funds Limited,EMEA
CHP9,CHP9 Funds Limited,AMER
AUV4,AUV4 Funds Limited,EMEA
W75B,W75B Funds Limited,EMEA
HCSM,HCSM Funds Limited,EMEA
2468,2468 Funds Limited,AMER
Y6FJ,Y6FJ Funds Limited,APAC
482W,482W Funds Limited,AMER
Y2KQ,Y2KQ Funds Limited,EMEA
R49E,R49E Funds Limited,AMER
7XHE,7XHE Funds Limited,AMER
NET0,NET0 Funds Limited,EMEA
BTUG,BTUG Funds Limited,AMER
VTJ8,VTJ8 Funds Limited,APAC
VI7X,VI7X Funds Limited,AMER
4WST,4WST Funds Limited,AMER
T3ON,T3ON Funds Limited,APAC
U1NZ,U1NZ Funds Limited,APAC
BDFZ,BDFZ Funds Limited,EMEA
11XC,11XC Funds Limited,APAC
TFOV,TFOV Funds Limited,EMEA
81BC,81BC Funds Limited,EMEA
9IMY,9IMY Funds Limited,APAC
MAHW,MAHW Funds Limited,AMER
OD4N,OD4N Funds Limited,APAC
KNVU,KNVU Funds Limited,APAC
CA7C,CA7C Funds Limited,APAC
EP33,EP33 Funds Limited,AMER
OP1T,OP1T Funds Limited,EMEA
Z5OZ,Z5OZ Funds Limited,AMER
T16H,T16H Funds Limited,APAC
0U0S,0U0S Funds Limited,EMEA
R4EE,R4EE Funds Limited,EMEA
8SU6,8SU6 Funds Limited,AMER
28CI,28CI Funds Limited,APAC
JHQJ,JHQJ Funds Limited,EMEA
DDXX,DDXX Funds Limited,APAC
B5UI,B5UI Funds Limited,EMEA
JCKA,JCKA Funds Limited,AMER
LUP3,LUP3 Funds Limited,EMEA
KU2H,KU2H Funds Limited,EMEA
24LX,24LX Funds Limited,APAC
32FK,32FK Funds Limited,AMER
1CBX,1CBX Funds Limited,APAC
BEM9,BEM9 Funds Limited,EMEA
D2W0,D2W0 Funds Limited,APAC
Y3ES,Y3ES Funds Limited,APAC
YSM6,YSM6 Funds Limited,EMEA
BTCM,BTCM Funds Limited,EMEA
23FD,23FD Funds Limited,EMEA
YB30,YB30 Funds Limited,AMER
NYAF,NYAF Funds Limited,APAC
54FW,54FW Funds Limited,AMER
L0VZ,L0VZ Funds Limited,APAC
026D,026D Funds Limited,AMER
1CSG,1CSG Funds Limited,EMEA
CSFG,CSFG Funds Limited,APAC
II4J,II4J Funds Limited,AMER
DLNM,DLNM Funds Limited,APAC
ZFO2,ZFO2 Funds Limited,AMER
ZPFO,ZPFO Funds Limited,APAC
KTFX,KTFX Funds Limited,EMEA
6VES,6VES Funds Limited,AMER
RSI6,RSI6 Funds Limited,EMEA
MQZ9,MQZ9 Funds Limited,APAC
9IFG,9IFG Funds Limited,EMEA
E1MY,E1MY Funds Limited,AMER
EH20,EH20 Funds Limited,AMER
QLOR,QLOR Funds Limited,EMEA
Z2JA,Z2JA Funds Limited,AMER
PHRP,PHRP Funds Limited,AMER
LCAP,LCAP Funds Limited,APAC
XYSR,XYSR Funds Limited,APAC
Q56I,Q56I Funds Limited,APAC
5YA5,5YA5 Funds Limited,AMER
IA36,IA36 Funds Limited,APAC
NE1N,NE1N Funds Limited,AMER
6237,6237 Funds Limited,APAC
DGT5,DGT5 Funds Limited,APAC
1W0W,1W0W Funds Limited,EMEA
PK07,PK07 Funds Limited,EMEA
P12W,P12W Funds Limited,AMER
AS7M,AS7M Funds Limited,APAC
40FC,40FC Funds Limited,EMEA
YDX5,YDX5 Funds Limited,EMEA
FLIL,FLIL Funds Limited,AMER
93SP,93SP Funds Limited,APAC
IJGM,IJGM Funds Limited,AMER
Y8OU,Y8OU Funds Limited,AMER
29RJ,29RJ Funds Limited,AMER
I14H,I14H Funds Limited,AMER
NWJQ,NWJQ Funds Limited,APAC
WU2N,WU2N Funds Limited,EMEA
B4A0,B4A0 Funds Limited,AMER
IU6Z,IU6Z Funds Limited,APAC
L18C,L18C Funds Limited,EMEA
RDSS,RDSS Funds Limited,APAC
E657,E657 Funds Limited,EMEA
BYDX,BYDX Funds Limited,APAC
L6SH,L6SH Funds Limited,APAC
MKSQ,MKSQ Funds Limited,EMEA
XQE4,XQE4 Funds Limited,APAC
MLNP,MLNP Funds Limited,EMEA
TQ0H,TQ0H Funds Limited,EMEA
YUJ2,YUJ2 Funds Limited,APAC
BKX8,BKX8 Funds Limited,APAC
TWC1,TWC1 Funds Limited,EMEA
PJZA,PJZA Funds Limited,EMEA
SQJU,SQJU Funds Limited,APAC
DZZ3,DZZ3 Funds Limited,EMEA
49BZ,49BZ Funds Limited,EMEA
JKF8,JKF8 Funds Limited,AMER
U6ZH,U6ZH Funds Limited,EMEA
19RE,19RE Funds Limited,EMEA
GVQX,GVQX Funds Limited,EMEA
09XP,09XP Funds Limited,AMER
YLQ6,YLQ6 Funds Limited,APAC
41UI,41UI Funds Limited,APAC
9C6F,9C6F Funds Limited,AMER
GWO1,GWO1 Funds Limited,APAC
IPOV,IPOV Funds Limited,EMEA
EIBJ,EIBJ Funds Limited,AMER
4YOA,4YOA Funds Limited,EMEA
QH0T,QH0T Funds Limited,APAC
FKVM,FKVM Funds Limited,APAC
A9OZ,A9OZ Funds Limited,AMER
AME0,AME0 Funds Limited,EMEA
FAF9,FAF9 Funds Limited,AMER
JFE5,JFE5 Funds Limited,EMEA
AAXQ,AAXQ Funds Limited,APAC
X3P9,X3P9 Funds Limited,APAC
J230,J230 Funds Limited,APAC
930L,930L Funds Limited,AMER
0CKC,0CKC Funds Limited,AMER
ZDTI,ZDTI Funds Limited,APAC
IK5Q,IK5Q Funds Limited,APAC
04CO,04CO Funds Limited,AMER
99GY,99GY Funds Limited,AMER
RBR0,RBR0 Funds Limited,EMEA
L25H,L25H Funds Limited,AMER
6U4Y,6U4Y Funds Limited,APAC
WRSK,WRSK Funds Limited,AMER
Z9FM,Z9FM Funds Limited,EMEA
MZEC,MZEC Funds Limited,EMEA
U1QL,U1QL Funds Limited,APAC
1TD1,1TD1 Funds Limited,AMER
HIP6,HIP6 Funds Limited,EMEA
VQ1V,VQ1V Funds Limited,APAC
U2ZG,U2ZG Funds Limited,EMEA
TDCG,TDCG Funds Limited,APAC
Q7YC,Q7YC Funds Limited,EMEA
UP1E,UP1E Funds Limited,EMEA
7CBA,7CBA Funds Limited,APAC
JNXN,JNXN Funds Limited,AMER
6BYI,6BYI Funds Limited,EMEA
P0DA,P0DA Funds Limited,AMER
AS9Q,AS9Q Funds Limited,AMER
WEJK,WEJK Funds Limited,APAC
OI4Q,OI4Q Funds Limited,APAC
D8BI,D8BI Funds Limited,APAC
XOY0,XOY0 Funds Limited,APAC
QMGS,QMGS Funds Limited,APAC
E7YM,E7YM Funds Limited,APAC
BJ6Y,BJ6Y Funds Limited,AMER
